,attraction_name,date,forecast
118,[Ancient Egypt] Revenge of the Mummy,10/28/2024,42.51897424
119,[Ancient Egypt] Revenge of the Mummy,10/29/2024,36.41995021
120,[Ancient Egypt] Revenge of the Mummy,10/30/2024,36.10599564
121,[Ancient Egypt] Revenge of the Mummy,10/31/2024,31.15544951
122,[Ancient Egypt] Revenge of the Mummy,11/1/2024,39.20928251
123,[Ancient Egypt] Revenge of the Mummy,11/2/2024,49.09074414
124,[Ancient Egypt] Revenge of the Mummy,11/3/2024,31.21116869
125,[Ancient Egypt] Revenge of the Mummy,11/4/2024,40.91382945
126,[Ancient Egypt] Treasure Hunters,10/22/2024,10.98562107
127,[Ancient Egypt] Treasure Hunters,10/23/2024,11.38423651
128,[Ancient Egypt] Treasure Hunters,10/24/2024,12.96184656
129,[Ancient Egypt] Treasure Hunters,10/25/2024,12.63654739
130,[Ancient Egypt] Treasure Hunters,10/26/2024,15.85482299
131,[Ancient Egypt] Treasure Hunters,10/27/2024,10.08792082
132,[Ancient Egypt] Treasure Hunters,10/28/2024,13.2276684
133,[Ancient Egypt] Treasure Hunters,10/29/2024,11.33025482
134,[Ancient Egypt] Treasure Hunters,10/30/2024,11.23259163
135,[Ancient Egypt] Treasure Hunters,10/31/2024,9.692522005
136,[Ancient Egypt] Treasure Hunters,11/1/2024,12.197995
137,[Ancient Egypt] Treasure Hunters,11/2/2024,15.2722077
138,[Ancient Egypt] Treasure Hunters,11/3/2024,9.709756826
139,[Ancient Egypt] Treasure Hunters,11/4/2024,12.72825508
140,[The Lost World] Canopy Flyer,10/22/2024,22.92829963
141,[The Lost World] Canopy Flyer,10/23/2024,23.76039589
142,[The Lost World] Canopy Flyer,10/24/2024,27.05319031
143,[The Lost World] Canopy Flyer,10/25/2024,26.37428432
144,[The Lost World] Canopy Flyer,10/26/2024,33.09141378
145,[The Lost World] Canopy Flyer,10/27/2024,21.05494734
146,[The Lost World] Canopy Flyer,10/28/2024,27.60807131
147,[The Lost World] Canopy Flyer,10/29/2024,23.64788565
148,[The Lost World] Canopy Flyer,10/30/2024,23.4440969
149,[The Lost World] Canopy Flyer,10/31/2024,20.22972802
150,[The Lost World] Canopy Flyer,11/1/2024,25.45906459
151,[The Lost World] Canopy Flyer,11/2/2024,31.87550877
152,[The Lost World] Canopy Flyer,11/3/2024,20.26572116
153,[The Lost World] Canopy Flyer,11/4/2024,26.56579284
154,[The Lost World] Dino-Soarin,10/22/2024,12.45942899
155,[The Lost World] Dino-Soarin,10/23/2024,12.91158269
156,[The Lost World] Dino-Soarin,10/24/2024,14.70090356
157,[The Lost World] Dino-Soarin,10/25/2024,14.33200548
158,[The Lost World] Dino-Soarin,10/26/2024,17.98203572
159,[The Lost World] Dino-Soarin,10/27/2024,11.44146061
160,[The Lost World] Dino-Soarin,10/28/2024,15.00247605
161,[The Lost World] Dino-Soarin,10/29/2024,12.85048291
162,[The Lost World] Dino-Soarin,10/30/2024,12.73971803
163,[The Lost World] Dino-Soarin,10/31/2024,10.99295421
164,[The Lost World] Dino-Soarin,11/1/2024,13.83468291
165,[The Lost World] Dino-Soarin,11/2/2024,17.32132709
166,[The Lost World] Dino-Soarin,11/3/2024,11.01260058
167,[The Lost World] Dino-Soarin,11/4/2024,14.43610978
168,[The Lost World] Jurassic Park Rapid Adventure,10/22/2024,28.90823476
169,[The Lost World] Jurassic Park Rapid Adventure,10/23/2024,29.95730192
170,[The Lost World] Jurassic Park Rapid Adventure,10/24/2024,34.10885912
171,[The Lost World] Jurassic Park Rapid Adventure,10/25/2024,33.25296299
172,[The Lost World] Jurassic Park Rapid Adventure,10/26/2024,41.72164887
173,[The Lost World] Jurassic Park Rapid Adventure,10/27/2024,26.54637011
174,[The Lost World] Jurassic Park Rapid Adventure,10/28/2024,34.80859617
175,[The Lost World] Jurassic Park Rapid Adventure,10/29/2024,29.81555714
176,[The Lost World] Jurassic Park Rapid Adventure,10/30/2024,29.55854569
177,[The Lost World] Jurassic Park Rapid Adventure,10/31/2024,25.50581563
178,[The Lost World] Jurassic Park Rapid Adventure,11/1/2024,32.09907992
179,[The Lost World] Jurassic Park Rapid Adventure,11/2/2024,40.18868109
180,[The Lost World] Jurassic Park Rapid Adventure,11/3/2024,25.55133185
181,[The Lost World] Jurassic Park Rapid Adventure,11/4/2024,33.49451705
182,[The Lost World] WaterWorld,10/22/2024,10.35877836
183,[The Lost World] WaterWorld,10/23/2024,10.73471951
184,[The Lost World] WaterWorld,10/24/2024,12.2223742
185,[The Lost World] WaterWorld,10/25/2024,11.91562308
186,[The Lost World] WaterWorld,10/26/2024,14.95046095
187,[The Lost World] WaterWorld,10/27/2024,9.512374114
188,[The Lost World] WaterWorld,10/28/2024,12.47301148
189,[The Lost World] WaterWorld,10/29/2024,10.68384107
190,[The Lost World] WaterWorld,10/30/2024,10.59179369
191,[The Lost World] WaterWorld,10/31/2024,9.139584589
192,[The Lost World] WaterWorld,11/1/2024,11.50211801
193,[The Lost World] WaterWorld,11/2/2024,14.40110201
194,[The Lost World] WaterWorld,11/3/2024,9.155797553
195,[The Lost World] WaterWorld,11/4/2024,12.00210431
